,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
82,119140,2021-11-25,12:50:00,Urbana,Ruta Provincial,5,,,,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
83,119972,2021-11-25,19:30:00,Urbana,Calle,CHACABUCO,MOCORETA,,,1.0,1,0.0,2,0.0,,2,Ripio,Apto,Seca,Atardecer,NO,Despejado,,
84,127012,2021-11-22,08:40:00,Urbana,Calle,CAZADORES CORRENTINOS,SANCHEZ BUSTAMANTE,,,0.0,1,0.0,1,0.0,,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
85,132604,2021-11-22,18:40:00,Urbana,Avenida,AV ARMENIA,URUNDAY,,,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
86,96781,2021-11-21,10:50:00,Urbana,Calle,SAN MARTIN,SANJUAN,-2.746.975,-5.883.696,2.0,0,0.0,2,0.0,Alcance,2,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo
87,123433,2021-11-21,22:15:00,Urbana,Calle,MADERO,ESCALADA,,,1.0,1,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
88,126293,2021-11-20,08:30:00,Urbana,Avenida,GOBERNADOR RUIZ,PUJOL,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
89,106228,2021-11-18,08:15:00,Urbana,Ruta Provincial,RUTA PROVINCIAL Nª 5,,-2.749.190,-5.874.690,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo
90,108440,2021-11-18,13:40:00,Urbana,Avenida,AV. INDEPENDENCIA,J.J. PASO,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
91,93049,2021-11-18,10:30:00,Urbana,Avenida,AV SARMIENTO,GENERAL PAZ,-2.747.903,-5.883.044,1.0,0,0.0,1,0.0,,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
92,119950,2021-11-16,06:30:00,Urbana,Calle,ESTADOS UNIDOS,SAN MARTIN,,,1.0,0,0.0,1,0.0,,1,Hormigón,Apto,Seca,Amanecer,SI,Despejado,Buena,Sin Semáforo
93,126982,2021-11-16,17:15:00,Urbana,Avenida,AV. LIBERTAD,,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
94,119977,2021-11-16,08:35:00,Urbana,Calle,GUEMES,GENERAL PAZ,,,2.0,0,0.0,2,0.0,,2,Asfalto,,Seca,Día,NO,,Buena,Sin Semáforo
95,124175,2021-11-16,08:49:00,Urbana,Avenida,AV. PUJOL,,,,1.0,1,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
