,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
243,48992,2018-10-04,10:06:00,Urbana,Avenida,AV. ARTIGAS,BOLIVAR,-2.747.270,-5.881.891,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,Día,NO,Despejado,Buena,Sin Semáforo
244,49188,2018-12-23,11:11:00,Urbana,Avenida,AV INDEPENDENCIA,MEDRANO,-2.748.155,-5.879.836,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,,Despejado,Buena,Funciona
245,48910,2018-09-06,13:45:00,Urbana,Calle,LIZANDRO SEGOVIA,NECOCHEA,-2.747.959,-5.883.561,0,2,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo
246,48912,2018-09-07,00:00:00,Urbana,Avenida,CAZADORES CORRENTINOS,MILAN,-2.748.958,-5.878.516,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,,Noche,SI,Despejado,Buena,No Funciona
247,49028,2018-10-21,06:40:00,Urbana,Avenida,AVENIDA 3 DE ABRIL,,-2.747.397,-5.884.943,1,0,0,1,0,Colisión entre vehículos,1,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
248,48861,2018-08-23,09:45:00,Urbana,Avenida,CAZADORES CTINOS.,TACUARI,-2.748.646,-5.880.726,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Ahuellamiento,Seca,Día,NO,Despejado,Buena,Funciona
249,48939,2018-09-18,12:35:00,Urbana,Avenida,AV. FERRE,MAIPU,-2.747.629,-5.883.130,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
250,49123,2018-12-01,07:30:00,Urbana,Avenida,AV R ALFONSIN,LA PRIDA,-2.747.667,-5.878.862,0,2,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
251,49172,2018-12-13,18:35:00,Urbana,Calle,LAS PIEDRAS,GUAYANAS,-2.748.901,-5.880.211,1,0,0,1,0,Atropello a animal/es,1,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo
252,48954,2018-09-20,18:20:00,Urbana,Calle,TRANSITO COCOMAROLA,AV ARMENIA,-2.746.745,-5.881.837,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
253,48818,2018-08-07,11:25:00,Urbana,Avenida,MENDOZA,TRES DE ABRIL,-2.747.586,-5.883.649,1,1,0,2,0,Colisión entre vehículos,2,,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
254,48996,2018-10-07,20:25:00,Urbana,Avenida,MAIPU,,-2.749.967,-5.881.454,0,3,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Noche,SI,Despejado,Buena,Sin Semáforo
255,49017,2018-10-18,19:45:00,Rural,Ruta Nacional,12,,-2.744.535,-5.874.673,3,0,0,2,0,Colisión entre vehículos,2,Tierra,Apto,,Noche,NO,Despejado,Buena,Sin Semáforo
256,49037,2018-10-24,17:00:00,Urbana,Calle,25 DE mayo,CATAMARCA,-2.746.464,-5.883.273,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Baches,"Con charcos o inundada, Mojada",,NO,Despejado,Buena,Sin Semáforo
257,48839,2018-08-12,03:41:00,Urbana,Calle,PELLEGRINI,PARAGUAY,-2.746.631,-5.882.638,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Despejada,Noche,SI,Despejado,Buena,Sin Semáforo
258,48949,2018-02-20,08:15:00,Urbana,Avenida,AV TTE IBAÑEZ,CASTILL0,-2.748.488,-5.884.304,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
259,49164,2018-12-13,11:30:00,Urbana,Calle,LAS PIEDRAS,LUIS BRAILE,-2.748.007,-5.880.036,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo
260,48985,2018-09-28,13:00:00,Urbana,Avenida,AVENIDA CENTENARIO,AVENIDA CHACABUCO,-2.747.127,-5.881.273,2,0,0,2,0,,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
261,49080,2018-11-09,14:15:00,Urbana,Calle,25 DE mayo,ESPAÑA,-2.746.499,-5.882.883,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Atardecer,NO,Despejado,Buena,Sin Semáforo
262,49142,2018-11-06,22:20:00,Urbana,Avenida,AV INDEPENDENCIA,LAS PIEDRAS,-2.748.099,-5.880.050,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,NO,Despejado,Buena,Funciona
263,49176,2018-12-18,17:30:00,Urbana,Avenida,AV CAZADORES CORRENTINO,CASTELLI,-2.748.714,-5.881.102,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo
264,49090,2018-11-15,18:30:00,Urbana,Calle,CATAMARCA,SAN MARTIN,-2.747.016,-5.883.329,2,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,SI,,,Sin Semáforo
265,49153,2018-12-09,07:15:00,Urbana,Calle,PARAGUAY,,-2.747.068,-5.882.681,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,,Despejado,,Sin Semáforo
